"Name","SameHash","First","FirstHash","Second","SecondHash"
"docx","False","C:\Users\pigow\.agents\skills\document-skills\docx\SKILL.md","351357385000DCA18A773AE698BDD03EA082343470A6CBA1CB840F19CA6A9BFB","C:\Users\pigow\.agents\skills\docx\SKILL.md","D1650889145289BB240A1F259DC9ECB671978FC9D6084ABF915AD3975FD64389"
"pdf","False","C:\Users\pigow\.agents\skills\document-skills\pdf\SKILL.md","137515C7AE1E7E119C895CBDF832E28DDAC72E2C6157C22874566F3FE4CCB1A6","C:\Users\pigow\.agents\skills\pdf\SKILL.md","252D234AC391E2B6C51EC589C7CF8BF4C50BA2993E5F1876B4093D351362E527"
"pptx","False","C:\Users\pigow\.agents\skills\document-skills\pptx\SKILL.md","16521692F76BABCE6A50AC265ED3EF71EC48F34EABC98A9E827B58518AB65563","C:\Users\pigow\.agents\skills\pptx\SKILL.md","FEF8EEAD6FAD0416F15F617336E4AC75F68D841BA910C9BB9E74DE7E8A6603F7"
"xlsx","False","C:\Users\pigow\.agents\skills\document-skills\xlsx\SKILL.md","C32082BDFEC40CB323565A336F318B143EBE718A2B8F571614AAF731E25B120B","C:\Users\pigow\.agents\skills\xlsx\SKILL.md","9416CE025074FF1184387A4C698794E8414974BE177494BE9E28983EC8FF3758"
"open-gstack-browser","True","C:\Users\pigow\.agents\skills\connect-chrome\SKILL.md","8905EB83A85ACEDD7EB83B0314471F007116B6136CF1723502259F5EE6198C2F","C:\Users\pigow\.agents\skills\open-gstack-browser\SKILL.md","8905EB83A85ACEDD7EB83B0314471F007116B6136CF1723502259F5EE6198C2F"
"latex-posters","True","C:\Users\pigow\.agents\skills\latex-posters\SKILL.md","583ECE5CBF04E5F2F0A3B8F249A15F4065B61B8F9E3912FE818C31ACC1FA93CD","C:\Users\pigow\.agents\skills\pptx-posters\SKILL.md","583ECE5CBF04E5F2F0A3B8F249A15F4065B61B8F9E3912FE818C31ACC1FA93CD"
