"Skill","RelativePath","RootHash","DocumentSkillsHash"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\shared-relationshipReference.xsd","12264F3C03D738311CD9237D212F1C07479E70F0CBE1AE725D29B36539AEF637","2A6B823A7C6DA33BEDB8EA9BE74199DB8A907530ECF9D3B31F31F92C4539A4C2"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\sml.xsd","BEFFEED56945C22A77440122C8BDC426F3FCBE7F3B12EA0976C770D1F8D54578","495DEBC8FA967B77ED37799747B049832F2C95B2ECDB9F19DDCD68F8C9F96AB9"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\vml-main.xsd","F5EE623B08B6A66935E5ACED2F5D8AD0FC71BF9E8E833CD490150C0FA94B8763","335E9ECD40BB594EC4B916AC8C7B9EEAD4E16FE1B79F9D4105FDB1C43B66BB1C"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\vml-officeDrawing.xsd","585BEDC1313B40888DCC544CB74CD939A105EE674F3B1D3AA1CC6D34F70FF155","86C9AC8549D84AF107DAAC8F6B3B0B9ED1113EAE22BE8FEF4C5F2B606F23AE36"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\vml-presentationDrawing.xsd","133C9F64A5C5D573B78D0A474122B22506D8EADB5E063F67CDBBB8FA2F161D0E","DB28DF195A3A1DA2C749162C4E5736C94FC4E3D5E20D767D5FF68A37FDD46FD5"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\vml-spreadsheetDrawing.xsd","6BDEB169C3717EB01108853BD9FC5A3750FB1FA5B82ABBDD854D49855A40F519","2F7C6B2A8A9D7A7E0DFA32FF3F13856275D83D0BBE968C7FC9954D0F665E7588"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\vml-wordprocessingDrawing.xsd","475DCAE1E7D1EA46232DB6F8481040C15E53A52A3C256831D3DF204212B0E831","F5E69BC0280A2AAE659766F782D2AF47738C6C97FFABB0B10A871489F60280BC"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\wml.xsd","C2DD9F61F892DEAE6ACD8D20771EA79B12018AF25F3BF8D06639C8542D218CFD","A5DB454991DE6C9D52DB8D2DDA43D2F27F4CFA2E62C012D6BF202DEEF90659CE"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\xml.xsd","A539AA2FB154FA50E0F5CC97E6AD7CBC66F8EC3E3746F61EC6A8B0D5D15ECDF2","70A3C67959F9AD2333016328716101BF8B476E682F29830CC9EE8DA63DCA7CC2"
"docx","ooxml\schemas\mce\mc.xsd","3A37E461ECF5A8670FDEC34029703401F8728AB9C96EC1739A6AE58D55212413","FC3D4398375C68A8AA0D608DAD9003A3E5CC566F3D16A443F92FCA3799ED2DF3"
"docx","ooxml\schemas\microsoft\wml-2010.xsd","568B26EE156CB9549AA439CA2158965F77B7C1602B7E0316F40AC6CF586E35F2","60580C222B22548A4C306438A631AE2355DB889FF59847CFCFD47943445A7132"
"docx","ooxml\schemas\microsoft\wml-2012.xsd","0FA75578A000439A7988BA0C59FDC69F774BBD416CBACC14D07125B3F686CB74","85E17DE88D4C1AF45A571732EB862024CD7897E380EFA5825BCFDBE57DB21A64"
"docx","ooxml\schemas\microsoft\wml-2018.xsd","BE0FF793A22DD31384650C3A4DA14C2FA8062751C2E97B0E5EE852BDA13C60AD","B8BF0D8670A8BA8EA2DD441E7F22A81BE7DFCA520CA93306E99E4403C234A3B2"
"docx","ooxml\schemas\microsoft\wml-cex-2018.xsd","FDDC2B880CABB9005AEBBC7E783E53C19FEC1C03DF7D0E2F2076A33A0FDFD081","6731624FCB1B0DF9AB0533BC8FA2D8CAA09D419B2280285BDDA6C9E94D874F7D"
"docx","ooxml\schemas\microsoft\wml-cid-2016.xsd","127CA209FA73D7CB708449CB355C871867948A96E4A74F7BF5811EF62D17991D","73DDE8F5752D4047975FE2948D2EA99D26C1DAB981A9739E77624A666090272A"
"docx","ooxml\schemas\microsoft\wml-sdtdatahash-2020.xsd","842E7163409C8D74F4D7088A8BC99500D80BC75332681A0980055B08F374A604","441556F2BFFF0B49A3A4BAE82CAC5188AAEE5419DDFA288DC0A58CE271F2237D"
"docx","ooxml\schemas\microsoft\wml-symex-2015.xsd","16F6F8072249F431370723C2CD8974672E0D9C897E00E97DD918079DF934871B","1973A7EDE01D55D351C50422FF451A1AD1F8F52CC792178F14B62F75C123E01F"
"docx","ooxml\scripts\pack.py","6FE762F45AFF8C63FD95B9FCB1337B28921D6FA454E18A0E8158D4C8708D6D00","66AB328EB16F5EE93D7F39B2DABE60D8F35BED8B632FA0F40FB084CED9F34D1D"
"docx","ooxml\scripts\unpack.py","0BD17F76A1A4C388ABA42C6D1D39015FA84E405C3E0692397FE12762BD632B58","E0886AECFDD08FF92A82B5ABAD995FF0F4D5B5709432B82DBA06D338D107F595"
"docx","ooxml\scripts\validate.py","1EC252DE8B14B07D16966C48906CCB1C45C68BCD23557AD31D8C50A27F5F8C0F","44AD6542300B7ED1193F3710B5F14F56A5438F77C3BB53E9BF932791EA62C67A"
"docx","ooxml\scripts\validation\__init__.py","83E0F035C5ABEA238D3F2C3968AFBD511ED022B527B7C9CB60A9434CC34FF987","09A53B0969B042794CE29E5EE2487DB365D57F7E95D691B145F5C60CB98144DF"
"docx","ooxml\scripts\validation\base.py","F2C70D481613456E32B43869D1604B05C236C8DA34B5B3967677A661CAC7BA63","9DACCA6A6114706FAAB25BE7F0A25952A270AC60164ECB65BAB18B0313B5CAA5"
"docx","ooxml\scripts\validation\docx.py","E65D6CDA0525866A24CC847B2E883BD2416AE6F87B3F5B9E2784DFBB0EC13093","9B3232896D2886505F5015BC2894136127A215DBB8018BEDEBE6416376F04D2E"
"docx","ooxml\scripts\validation\pptx.py","00BF2623DA1177B3948143A4ADE2F1CDA7CB389DEE31960861913FA42EF1B00F","4204EDA6AF41E1E2933BA39C87635AD2E8557FB1423F12DA98C5F2F4A76BAD41"
"docx","ooxml\scripts\validation\redlining.py","97ABFDFF4F08F43F9A4BB5C8A2F8FD483398B5B339592724E8635153B5507967","165BC14CFD75E4C4C3A8FCCBF774AB61BD80A1FCB6ABEB03CB262DBFBD6CA79A"
"docx","scripts\__init__.py","83E262A425814B72ADD701272B99DDCF9635251C5D4672BF9FC38D2B03F00D85","C9F456F19E3112A11DA3C60632DE6CDEF897C1546DB8A8E7B28F8017EA842208"
"docx","scripts\document.py","65F8569034A5893BD5EF0654BE5168774FE81C0407B0C4EC80992DB9FFF91C0C","C5A2233D81F9EBEF81E264CC4BAB40868C80E40C7612288B690F8E338F1EE43B"
"docx","scripts\templates\comments.xml","87E218A3A295016EC855F2CD74495C416072F29C4846E86B527AEC0A4D93BA21","533D3CE3111182F6BB41B07AB76F7A3B28A8782139F222B24D7BC51DCA618496"
"docx","scripts\templates\commentsExtended.xml","86BF401354C111102033ED147763FACCB82479598F17777A3384C2F3E9FA0014","F9D3945015714144BF34278FD5610DA8515433A8B9C6E0606D00B89927EC84DD"
"docx","scripts\templates\commentsExtensible.xml","AF5D057E16462CA172CEA845E502BAFB4F3E1B474A8D5848FFE92214853A4935","EBDE32F647C95846610B72B292ACF99EE1AB983A12528055228DD9F85AB3EFAD"
